Variable,VIF
EDAD,8763.567474970352
hombre,84.80278848194892
edad2,3494.69389213544
PE47_Educación Media o Bachillerato,12.277220839412903
PE47_Educación básica,55.18693714166143
PE47_Educación inicial,1.0077923240107214
PE47_Ninguno,4.0994222013914685
PE47_Post Bachillerato / Sup. No Universitario,1.3897147905151714
PE47_Postgrado,1.5206004464281464
PE47_Primaria,13.804417587896015
PE47_Secundaria,8.820652762858119
PE47_Superior,4.70577915805249
AREA_5000_Urbano,40.5916959947962
prob_logit,89487.02036871578
prob_probit,110571.40283475665
pred_logit,29.457971400349155
