variable,coef_logit,pvalor_logit,coef_probit,pvalor_probit
Intercept,-4.834310817524692,0.0,-2.841146041687471,0.0
hombre,1.2726915888085168,0.0,0.7462344569341418,0.0
EDAD,0.290911925139173,0.0,0.17045923501653087,0.0
edad2,-0.003092404052671629,0.0,-0.0018080614571663628,0.0
urbano,-0.9102718508017689,0.0,-0.5257066849056761,0.0
